STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,SPOPARST,SPOPCRIM,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,SVIOL,SPROPERTY,SMURDER,SRAPE,SROBBERY,SAGASSLT,SBURGLRY,SLARCENY,SMVTHEFT,SARSON
9999,1,8,1768,32,3,2940058,2940058,2155946,13,11,100,3,3,0,0,0,3,1,1,0,4
9999,1,8,1769,32,5,2940058,2940058,48010,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1770,32,7,2940058,2940058,52712,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1771,32,9,2940058,2940058,842,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1772,32,11,2940058,2940058,2028,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1773,32,13,2940058,2940058,17165,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1774,32,15,2940058,2940058,5948,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1775,32,17,2940058,2940058,4991,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1776,32,19,2940058,2940058,52869,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1777,32,21,2940058,2940058,4437,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1778,32,23,2940058,2940058,42351,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1779,32,27,2940058,2940058,6635,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1780,32,29,2940058,2940058,3999,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1781,32,31,2940058,2940058,453559,7,7,100,1,1,0,0,0,1,0,0,0,1
9999,1,8,1782,32,33,2940058,2940058,9798,1,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1783,32,510,2940058,2940058,54605,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1784,32,777,2940058,2940058,0,16,14,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1785,33,1,1334795,1280340,60807,15,12,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1786,33,3,1334795,1280340,44383,17,14,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1787,33,5,1334795,1280340,61267,17,12,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1788,33,7,1334795,1280340,28701,12,8,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1789,33,9,1334795,1280340,82809,28,22,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1790,33,11,1334795,1280340,402898,31,25,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1791,33,13,1334795,1280340,132278,27,21,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1792,33,15,1334795,1280340,302412,41,38,99.9335,0,0,0,0,0,0,0,0,0,0
9999,1,8,1793,33,17,1334795,1280340,127689,17,15,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1794,33,19,1334795,1280340,37096,14,9,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1795,34,1,8944469,8944469,272735,22,21,100,2,11,0,0,1,1,0,11,0,0
9999,1,8,1796,34,3,8944469,8944469,940214,76,74,100,5,39,0,0,4,2,1,38,0,0
9999,1,8,1797,34,5,8944469,8944469,448166,36,35,100,3,19,0,0,2,1,0,18,0,0
9999,1,8,1798,34,7,8944469,8944469,507827,43,41,100,3,21,0,0,2,1,0,21,0,0
9999,1,8,1799,34,9,8944469,8944469,93755,17,16,100,1,4,0,0,0,0,0,4,0,0
9999,1,8,1800,34,11,8944469,8944469,154814,7,6,100,1,6,0,0,1,0,0,6,0,0
9999,1,8,1801,34,13,8944469,8944469,796008,31,29,100,5,33,0,0,3,2,0,32,0,0
9999,1,8,1802,34,15,8944469,8944469,290571,29,28,100,2,12,0,0,1,1,0,12,0,0
9999,1,8,1803,34,17,8944469,8944469,679390,18,16,100,4,28,0,0,3,1,0,28,0,0
9999,1,8,1804,34,19,8944469,8944469,124492,19,18,100,1,5,0,0,0,0,0,5,0,0
9999,1,8,1805,34,21,8944469,8944469,370221,19,17,100,2,15,0,0,1,1,0,15,0,0
9999,1,8,1806,34,23,8944469,8944469,842706,32,30,100,5,35,0,0,3,2,0,34,0,0
