year,crime_type,agency,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
2017,violent-crime,SD0640100,Mobridge Police Department,WALWORTH,SD,South Dakota,45.533497,-100.43243,0,2,4,6,1,1,0,0,0,0,0,14
2017,property-crime,SD0630100,Beresford Police Department,LINCOLN; UNION,SD,South Dakota,43.082794,-96.77557,0,5,0,2,1,1,1,0,0,0,0,10
2017,violent-crime,SD0630100,Beresford Police Department,LINCOLN; UNION,SD,South Dakota,43.082794,-96.77557,0,1,0,1,0,0,1,0,0,0,0,3
2017,property-crime,SD0500000,Moody County Sheriff's Office,MOODY,SD,South Dakota,44.048393,-96.595146,0,1,1,4,2,0,1,0,0,0,0,9
2017,violent-crime,SD0500000,Moody County Sheriff's Office,MOODY,SD,South Dakota,44.048393,-96.595146,0,2,0,1,0,0,0,0,0,0,0,3
2017,property-crime,SD0390100,Madison Police Department,LAKE,SD,South Dakota,44.02845,-97.123223,0,17,5,21,2,3,3,0,0,0,0,51
2017,violent-crime,SD0390100,Madison Police Department,LAKE,SD,South Dakota,44.02845,-97.123223,0,5,2,5,0,0,0,0,0,0,0,12
2017,property-crime,SD0410200,Lennox Police Department,LINCOLN,SD,South Dakota,43.27942,-96.722286,0,0,0,0,0,0,0,0,0,0,0,0
2017,violent-crime,SD0410200,Lennox Police Department,LINCOLN,SD,South Dakota,43.27942,-96.722286,0,0,1,0,0,1,0,0,0,0,0,2
2017,property-crime,SD0320000,Hughes County Sheriff's Office,HUGHES,SD,South Dakota,44.354984,-100.30259,0,2,1,1,0,0,0,0,0,0,0,4
2017,violent-crime,SD0320000,Hughes County Sheriff's Office,HUGHES,SD,South Dakota,44.354984,-100.30259,0,0,1,0,0,0,0,0,0,0,0,1
2017,property-crime,SD0140100,Watertown Police Department,CODINGTON,SD,South Dakota,44.89872,-97.113434,11,79,71,54,30,24,7,0,1,0,3,280
2017,violent-crime,SD0140100,Watertown Police Department,CODINGTON,SD,South Dakota,44.89872,-97.113434,0,14,24,31,10,4,2,0,0,0,0,85
2017,property-crime,SD0400000,Lawrence County Sheriff's Office,LAWRENCE,SD,South Dakota,44.353669,-103.796528,0,5,24,29,26,21,8,4,0,0,0,117
2017,violent-crime,SD0400000,Lawrence County Sheriff's Office,LAWRENCE,SD,South Dakota,44.353669,-103.796528,0,1,3,0,0,0,0,0,0,0,0,4
2017,property-crime,SD0010000,Aurora County Sheriff's Office,AURORA,SD,South Dakota,43.724719,-98.577587,0,0,0,0,0,0,0,0,0,0,0,0
2017,violent-crime,SD0010000,Aurora County Sheriff's Office,AURORA,SD,South Dakota,43.724719,-98.577587,0,0,0,1,0,0,0,0,0,0,0,1
2017,property-crime,SD0400400,Whitewood Police Department,LAWRENCE,SD,South Dakota,44.353669,-103.796528,0,1,2,0,0,0,0,0,0,0,0,3
2017,violent-crime,SD0400400,Whitewood Police Department,LAWRENCE,SD,South Dakota,44.353669,-103.796528,0,0,0,0,0,0,0,0,0,0,0,0
